InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone,Generation,QuotaGroup,PremiumStorageCapable
RTX_PRO_5000,RTXPRO5000,1,16,62.9638671875,"{""Gpus"":[{""Name"":""RTXPRO5000"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":48935}}],""TotalGpuMemoryInMiB"":48935}",1.0681111111111112,,CZ,,,,
RTX_PRO_5000,RTXPRO5000,1,16,62.9638671875,"{""Gpus"":[{""Name"":""RTXPRO5000"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":48935}}],""TotalGpuMemoryInMiB"":48935}",,0.4361111111111111,CZ,,,,
RTX_PRO_6000_Max-Q,RTXPRO6000Max-Q,1,25.6,100.7041015625,"{""Gpus"":[{""Name"":""RTXPRO6000Max-Q"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":97887}}],""TotalGpuMemoryInMiB"":97887}",1.593888888888889,,FR,,,,
RTX_PRO_6000_Max-Q,RTXPRO6000Max-Q,1,25.6,100.7041015625,"{""Gpus"":[{""Name"":""RTXPRO6000Max-Q"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":97887}}],""TotalGpuMemoryInMiB"":97887}",,0.5905555555555555,FR,,,,
RTX_PRO_6000_Max-Q,RTXPRO6000Max-Q,1,12,94.0888671875,"{""Gpus"":[{""Name"":""RTXPRO6000Max-Q"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":97887}}],""TotalGpuMemoryInMiB"":97887}",1.3694444444444445,,US,,,,
RTX_PRO_6000_Max-Q,RTXPRO6000Max-Q,1,12,94.0888671875,"{""Gpus"":[{""Name"":""RTXPRO6000Max-Q"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":97887}}],""TotalGpuMemoryInMiB"":97887}",,1.1027777777777779,US,,,,
RTX_PRO_6000_WS,RTXPRO6000WS,1,24,123.2353515625,"{""Gpus"":[{""Name"":""RTXPRO6000WS"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":97887}}],""TotalGpuMemoryInMiB"":97887}",1.502777777777778,,BG,,,,
RTX_PRO_6000_WS,RTXPRO6000WS,1,24,123.2353515625,"{""Gpus"":[{""Name"":""RTXPRO6000WS"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":97887}}],""TotalGpuMemoryInMiB"":97887}",,1.0227777777777778,BG,,,,
RTX_PRO_6000_WS,RTXPRO6000WS,1,32,64,"{'Gpus': [{'Name': 'RTXPRO6000WS', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 97887}}], 'TotalGpuMemoryInMiB': 97887}",0.93,,CA,,,,
RTX_PRO_6000_WS,RTXPRO6000WS,1,32,64,"{'Gpus': [{'Name': 'RTXPRO6000WS', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 97887}}], 'TotalGpuMemoryInMiB': 97887}",0.93,,CH,,,,
RTX_PRO_6000_WS,RTXPRO6000WS,1,32,123.37890625,"{""Gpus"":[{""Name"":""RTXPRO6000WS"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":97887}}],""TotalGpuMemoryInMiB"":97887}",1.3694444444444445,,HK,,,,
RTX_PRO_6000_WS,RTXPRO6000WS,1,96,220.171875,"{""Gpus"":[{""Name"":""RTXPRO6000WS"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":97887}}],""TotalGpuMemoryInMiB"":97887}",1.702777777777778,,JP,,,,
RTX_PRO_6000_WS,RTXPRO6000WS,1,96,220.171875,"{""Gpus"":[{""Name"":""RTXPRO6000WS"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":97887}}],""TotalGpuMemoryInMiB"":97887}",,1.1027777777777779,JP,,,,
RTX_PRO_6000_WS,RTXPRO6000WS,1,16,123.4404296875,"{""Gpus"":[{""Name"":""RTXPRO6000WS"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":97887}}],""TotalGpuMemoryInMiB"":97887}",1.4521111111111114,,KR,,,,
RTX_PRO_6000_WS,RTXPRO6000WS,1,16,123.4404296875,"{""Gpus"":[{""Name"":""RTXPRO6000WS"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":97887}}],""TotalGpuMemoryInMiB"":97887}",,0.9694444444444443,KR,,,,
RTX_PRO_6000_WS,RTXPRO6000WS,1,14,125.318359375,"{""Gpus"":[{""Name"":""RTXPRO6000WS"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":97887}}],""TotalGpuMemoryInMiB"":97887}",1.7805555555555554,,US,,,,
RTX_PRO_6000_WS,RTXPRO6000WS,1,14,125.318359375,"{""Gpus"":[{""Name"":""RTXPRO6000WS"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":97887}}],""TotalGpuMemoryInMiB"":97887}",,1.7138888888888888,US,,,,
RTX_PRO_6000_WS,RTXPRO6000WS,2,32,64,"{'Gpus': [{'Name': 'RTXPRO6000WS', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 195774}}], 'TotalGpuMemoryInMiB': 195774}",2,,CA,,,,
Tesla_V100,V100,1,32,64,"{'Gpus': [{'Name': 'V100', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 16384}}], 'TotalGpuMemoryInMiB': 16384}",0.18,,NL,,,,
Tesla_V100,V100,2,32,64,"{'Gpus': [{'Name': 'V100', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 32768}}], 'TotalGpuMemoryInMiB': 32768}",0.35,,US,,,,
Tesla_V100,V100,4,32,64,"{'Gpus': [{'Name': 'V100', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 65536}}], 'TotalGpuMemoryInMiB': 65536}",0.84,,US,,,,
